train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/yahoo.bsize128.epoch150.seqlen16.random.present0.5.partition2.hidden512.seq2seq/
step:91601 source:(128, 18) loss:3.40774
step:91801 source:(128, 18) loss:3.40925
step:92001 source:(128, 18) loss:3.34404
step:92201 source:(128, 18) loss:3.44822
step:92401 source:(128, 18) loss:3.40743
step:92601 source:(128, 18) loss:3.39496
step:92801 source:(128, 18) loss:3.36979
step:93001 source:(128, 18) loss:3.4296
step:93201 source:(128, 18) loss:3.37414
step:93401 source:(128, 18) loss:3.47317
step:93601 source:(128, 18) loss:3.49224
step:93801 source:(128, 18) loss:3.39873
epoch:120 test_bleu:44.8611706495285 template_bleu:41.355401277542114
epoch:120 train_bleu:45.84838151931763 template_bleu:41.38951003551483
step:94001 source:(128, 18) loss:3.45942
step:94201 source:(128, 18) loss:3.41437
step:94401 source:(128, 18) loss:3.42049
step:94601 source:(128, 18) loss:3.43068
step:94801 source:(128, 18) loss:3.44779
step:95001 source:(128, 18) loss:3.41107
step:95201 source:(128, 18) loss:3.42203
step:95401 source:(128, 18) loss:3.51889
step:95601 source:(128, 18) loss:3.47336
step:95801 source:(128, 18) loss:3.39741
step:96001 source:(128, 18) loss:3.41036
step:96201 source:(128, 18) loss:3.45636
step:96401 source:(128, 18) loss:3.45057
step:96601 source:(128, 18) loss:3.3998
step:96801 source:(128, 18) loss:3.37877
step:97001 source:(128, 18) loss:3.42955
step:97201 source:(128, 18) loss:3.41289
step:97401 source:(128, 18) loss:3.45279
step:97601 source:(128, 18) loss:3.35117
epoch:125 test_bleu:44.923752546310425 template_bleu:41.351330280303955
epoch:125 train_bleu:45.78886926174164 template_bleu:41.30634069442749
step:97801 source:(128, 18) loss:3.47683
step:98001 source:(128, 18) loss:3.38441
step:98201 source:(128, 18) loss:3.40884
step:98401 source:(128, 18) loss:3.39239
step:98601 source:(128, 18) loss:3.39182
step:98801 source:(128, 18) loss:3.45654
step:99001 source:(128, 18) loss:3.37245
step:99201 source:(128, 18) loss:3.39745
step:99401 source:(128, 18) loss:3.45111
step:99601 source:(128, 18) loss:3.3598
step:99801 source:(128, 18) loss:3.39702
step:100001 source:(128, 18) loss:3.40522
step:100201 source:(128, 18) loss:3.47992
step:100401 source:(128, 18) loss:3.41313
step:100601 source:(128, 18) loss:3.38704
step:100801 source:(128, 18) loss:3.38512
step:101001 source:(128, 18) loss:3.34837
step:101201 source:(128, 18) loss:3.4601
step:101401 source:(128, 18) loss:3.43714
step:101601 source:(128, 18) loss:3.40377
epoch:130 test_bleu:44.75158452987671 template_bleu:41.17827117443085
epoch:130 train_bleu:45.81820070743561 template_bleu:41.23075306415558
step:101801 source:(128, 18) loss:3.41665
step:102001 source:(128, 18) loss:3.38096
step:102201 source:(128, 18) loss:3.4343
step:102401 source:(128, 18) loss:3.41597
step:102601 source:(128, 18) loss:3.48011
step:102801 source:(128, 18) loss:3.4328
step:103001 source:(128, 18) loss:3.4348
step:103201 source:(128, 18) loss:3.47972
step:103401 source:(128, 18) loss:3.42178
step:103601 source:(128, 18) loss:3.46515
step:103801 source:(128, 18) loss:3.44086
step:104001 source:(128, 18) loss:3.43628
step:104201 source:(128, 18) loss:3.37356
step:104401 source:(128, 18) loss:3.47343
step:104601 source:(128, 18) loss:3.37363
step:104801 source:(128, 18) loss:3.42038
